ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-12 20:38:48,rank_3d,rank_1d,B,B+R,146,102.7,40,7.5,g00090_rank_3d_vs_rank_1d.sgf,,0
2026-09-12 20:38:33,preaz_5k,preaz_15k,B,B+R,146,120.8,40,7.5,g00089_preaz_5k_vs_preaz_15k.sgf,,0
2026-09-12 20:40:31,rank_1k,rank_5k,B,B+R,146,110.9,40,7.5,g00091_rank_1k_vs_rank_5k.sgf,,0
2026-09-12 20:40:34,rank_5d,rank_3d,B,B+R,232,132.6,40,7.5,g00092_rank_5d_vs_rank_3d.sgf,,0
2026-09-12 20:42:21,preaz_5k,preaz_15k,B,B+R,146,89.9,40,7.5,g00093_preaz_5k_vs_preaz_15k.sgf,,0
2026-09-12 20:42:47,preaz_15k,preaz_5k,W,W+R,145,113.1,40,7.5,g00094_preaz_15k_vs_preaz_5k.sgf,,0
2026-09-12 20:43:51,preaz_10k,preaz_5k,W,W+R,145,96.1,40,7.5,g00095_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-12 20:44:40,rank_3d,rank_1d,B,B+R,146,98.6,40,7.5,g00096_rank_3d_vs_rank_1d.sgf,,0
2026-09-12 20:45:28,preaz_15k,preaz_20k,W,W+R,145,127.5,40,7.5,g00097_preaz_15k_vs_preaz_20k.sgf,,0
2026-09-12 20:46:18,rank_3d,rank_1d,B,B+29.5,317,152.0,40,7.5,g00098_rank_3d_vs_rank_1d.sgf,,0
2026-09-12 20:47:35,rank_5k,rank_1d,W,W+R,145,94.9,40,7.5,g00099_rank_5k_vs_rank_1d.sgf,,0
2026-09-12 20:48:50,preaz_5k,preaz_1k,W,W+R,179,113.8,40,7.5,g00100_preaz_5k_vs_preaz_1k.sgf,,0
2026-09-12 20:49:10,rank_1k,preaz_1k,B,B+11.5,342,202.7,40,7.5,g00101_rank_1k_vs_preaz_1k.sgf,,0
2026-09-12 20:50:44,preaz_20k,preaz_15k,W,W+R,175,127.7,40,7.5,g00102_preaz_20k_vs_preaz_15k.sgf,,0
2026-09-12 20:52:52,preaz_15k,preaz_20k,W,W+R,145,86.0,40,7.5,g00104_preaz_15k_vs_preaz_20k.sgf,,0
2026-09-12 20:52:33,rank_1k,rank_1d,B,B+R,190,119.4,40,7.5,g00103_rank_1k_vs_rank_1d.sgf,,0
2026-09-12 20:54:18,rank_5k,rank_1k,W,W+R,145,103.2,40,7.5,g00105_rank_5k_vs_rank_1k.sgf,,0
2026-09-12 20:54:32,preaz_1k,preaz_5k,B,B+R,150,107.1,40,7.5,g00106_preaz_1k_vs_preaz_5k.sgf,,0
2026-09-12 20:56:01,preaz_15k,preaz_10k,W,W+R,211,133.6,40,7.5,g00107_preaz_15k_vs_preaz_10k.sgf,,0
